citation_key,title,year,venue,identifier,pdf_file,origin_url,pages,sha256,admission_role,verification_note
nist2023airmf,"Artificial Intelligence Risk Management Framework (AI RMF 1.0)",2023,"NIST AI 100-1",10.6028/NIST.AI.100-1,papers/11_nist_ai_rmf_1_0.pdf,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-1.pdf,48,7576edb531d9848825814ee88e28b1795d3a84b435b4b797d3670eafdc4a89f1,authoritative-guidance,"Voluntary cross-sector risk framework; does not certify this artefact"
autio2024genai,"Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile",2024,"NIST AI 600-1",10.6028/NIST.AI.600-1,papers/12_nist_genai_profile.pdf,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,64,6e73620ab6b64e90ef2c04bf0e0d6246185a2f4b1b13cab0df494496cff89b6a,authoritative-guidance,"Generative-AI risk actions; not product-specific effectiveness evidence"
amershi2019guidelines,"Guidelines for Human-AI Interaction",2019,"Proceedings of CHI 2019",10.1145/3290605.3300233,papers/13_amershi_human_ai_guidelines.pdf,https://www.microsoft.com/en-us/research/wp-content/uploads/2019/01/Guidelines-for-Human-AI-Interaction-camera-ready.pdf,19,82fff584c6b986f573608361478e93447538c6ce707e4b9b04d45d584272ea03,direct-method,"Eighteen guidelines validated against multiple products and practitioners; not a user study of this artefact"
hevner2004design,"Design science in information systems research",2004,"MIS Quarterly 28(1)",10.2307/25148625,papers/14_hevner_design_science.pdf,https://www.in.th-nuernberg.de/professors/holl/personal/hevner_designscience_isres.pdf,32,ea06fb3e18ccf0f7cf57bfdce49dd2e3d10e863f77a3fbc6e46a799f23258686,direct-method,"Design-science build-and-evaluate framework; does not establish this artefact's utility"
peffers2007dsrm,"A design science research methodology for information systems research",2007,"Journal of Management Information Systems 24(3)",10.2753/MIS0742-1222240302,papers/15_peffers_design_science_methodology.pdf,https://citeseerx.ist.psu.edu/document?doi=f434877eafb05eb24e49a10633e1fae2ef18bedf&repid=rep1&type=pdf,53,6fc461bab413c49f213adc346457dad2182963c58db8351e292d4991d7c40e4b,direct-method,"Six-activity design-science method; evaluation evidence remains artefact-specific"
gao2023rarr,"RARR: Researching and revising what language models say using language models",2023,"Proceedings of ACL 2023",10.18653/v1/2023.acl-long.910,papers/16_lewis_rarr_attribution.pdf,https://aclanthology.org/2023.acl-long.910.pdf,32,012e1231dc847c4cee6c7cb0e6ffee43f5799f70754930c815db1674ceffeab9,direct,"Attribution and revision experiments; attribution alone does not establish source truth"
gao2023ragsurvey,"Retrieval-augmented generation for large language models: A survey",2023,arXiv,"arXiv:2312.10997",papers/17_gao_rag_survey.pdf,https://arxiv.org/pdf/2312.10997,21,396a0fadeb4cd40f5c8ccc36b73a0815f6cb4d7f6bfa53b6c48c1f9aba7c7e02,supporting-review,"RAG architecture and evaluation synthesis; not direct evidence about this system"
huang2023hallucination,"A survey on hallucination in large language models: Principles taxonomy challenges and open questions",2023,arXiv,"arXiv:2311.05232",papers/18_huang_llm_hallucination_survey.pdf,https://arxiv.org/pdf/2311.05232,58,c0505f6ebb341232c5d1824ba50f520121a4095c38ab2c2877286d5007479502,supporting-review,"Hallucination taxonomy and mitigation survey; model behaviour is context-dependent"
guo2024multiagent,"Large language model based multi-agents: A survey of progress and challenges",2024,arXiv,"arXiv:2402.01680",papers/19_guo_llm_multi_agent_survey.pdf,https://arxiv.org/pdf/2402.01680,15,d3410856f2b8629ab7365af3bd62fe8291b1a595ec954f1feb859a2688c7179c,supporting-review,"Multi-agent design/challenge survey; not comparative evidence for this artefact"
gebru2021datasheets,"Datasheets for datasets",2021,"Communications of the ACM 64(12)",10.1145/3458723,papers/20_gebru_datasheets_for_datasets.pdf,https://arxiv.org/pdf/1803.09010,18,c7f595988ee2c109631d5173fdae37ff1774c68ec17add51bd012f2a6e8792d0,direct-method,"Dataset documentation framework; local freeze controls require independent implementation evidence"
mitchell2019modelcards,"Model cards for model reporting",2019,"Proceedings of FAT* 2019",10.1145/3287560.3287596,papers/21_mitchell_model_cards.pdf,https://arxiv.org/pdf/1810.03993,10,a4049cdc78c3d635bdfb5165e495b0672d85690d66ccd6f149079d6e11e64aa1,direct-method,"Model-reporting framework; no model card alone proves system safety"
sculley2015debt,"Hidden technical debt in machine learning systems",2015,"Advances in Neural Information Processing Systems 28","NIPS 2015",papers/22_sculley_ml_technical_debt.pdf,https://papers.nips.cc/paper_files/paper/2015/file/86df7dcfd896fcaf2674f757a2463eba-Paper.pdf,9,1a67da09a8bd5ba9a3577176e30aa2fbd88534e6baf0bc31522b4999f643d2a1,direct-method,"ML-system debt patterns; conceptual transfer rather than a measurement of this prototype"
souppaya2022ssdf,"Secure Software Development Framework (SSDF) Version 1.1",2022,"NIST SP 800-218",10.6028/NIST.SP.800-218,papers/23_nist_ssdf_800_218.pdf,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218.pdf,36,617746e553a9e2da49bfbd4eef0dfc3094758a39b869314e4173ac36605cde22,authoritative-guidance,"Secure-development practices; conformance is not claimed"
cddo2023genai,"Generative AI framework for HM Government",2023,"Central Digital and Data Office guidance","Version 1.0",papers/26_hmg_generative_ai_framework.pdf,https://assets.publishing.service.gov.uk/media/656ee89a0f12ef07a53e01fe/Generative_AI_Framework_for_HMG.pdf,76,b35b4231210eb1022645fbfdb0d449ce4afc866f9c6a5beac8a4248a39cb627b,authoritative-guidance,"UK public-sector generative-AI guidance; not a binding rule for this dissertation"
fca2024promotions,"Finalised guidance on financial promotions on social media",2024,"FCA Finalised Guidance FG24/1","FG24/1",papers/27_fca_financial_promotions_guidance.pdf,https://www.fca.org.uk/publication/finalised-guidance/fg24-1.pdf,47,0fd2b6e971d613e0df1af24866626b777d91956f802023bb2d92481e88523d69,authoritative-guidance,"Financial-promotion guidance supports a conservative communication boundary; no legal opinion is offered"
gao2023alce,"Enabling large language models to generate text with citations",2023,"Proceedings of EMNLP 2023",10.18653/v1/2023.emnlp-main.398,papers/28_gao_alce_citations.pdf,https://aclanthology.org/2023.emnlp-main.398.pdf,24,ae9868f07f0f7ffaae5346778f79b7827d9ec6b13b1e6aae4dff6b2ffc37a2e1,direct,"Citation-correctness benchmark; benchmark results do not transfer automatically to this artefact"
greshake2023indirect,"Not what you have signed up for: Compromising real-world LLM-integrated applications with indirect prompt injection",2023,arXiv,"arXiv:2302.12173",papers/29_greshake_indirect_prompt_injection.pdf,https://arxiv.org/pdf/2302.12173,33,428e23e8c7e4f89310e113e38d082b3f65548a8b887188ebc536099061800e81,direct,"Indirect prompt-injection demonstrations; attack and mitigation coverage remains system-specific"
wu2024autogen,"AutoGen: Enabling next-gen LLM applications via multi-agent conversations",2024,"Conference on Language Modeling 2024",10.48550/arXiv.2308.08155,papers/30_wu_autogen_multi_agent.pdf,https://www.microsoft.com/en-us/research/wp-content/uploads/2023/08/LLM_agent.pdf,46,40e767979318e4e4098c6ba573f34d232db5d5755b9ca5294ad00bdb0c828979,direct,"Multi-agent framework and pilot applications; not evidence that decomposition is universally superior"
bucinca2021forcing,"To trust or to think: Cognitive forcing functions can reduce overreliance on AI in AI-assisted decision-making",2021,"Proceedings of the ACM on Human-Computer Interaction 5(CSCW1)",10.1145/3449287,papers/31_bucinca_cognitive_forcing.pdf,https://arxiv.org/pdf/2102.09692,21,c0c6983901488b46ea3951fb29f96a9420f87952a46816824826d0320d175989,direct,"Controlled human study; task and interface findings do not establish this prototype's user benefit"
kapoor2023leakage,"Leakage and the reproducibility crisis in machine-learning-based science",2023,"Patterns 4",10.1016/j.patter.2023.100804,papers/32_kapoor_data_leakage.pdf,https://arxiv.org/pdf/2207.07048,29,c433bceda841ca09fe2fd7ddf857fc0818fdf98553e62e54a37cc394c6f70c42,direct-method,"Leakage taxonomy and reproduction study; dissertation controls need project-specific proof"
pineau2021reproducibility,"Improving reproducibility in machine learning research",2021,"Journal of Machine Learning Research 22",20-303,papers/33_pineau_reproducibility.pdf,https://jmlr.org/papers/volume22/20-303/20-303.pdf,20,09e3ba1d1c3dc7111bc3dc112f40c5d0f3d9dbc4b8198ef8bdc48eb852f4da29,direct-method,"NeurIPS reproducibility-program evidence; not a reproduction of this study"
ribeiro2020checklist,"Beyond accuracy: Behavioral testing of NLP models with CheckList",2020,"Proceedings of ACL 2020",10.18653/v1/2020.acl-main.442,papers/34_ribeiro_checklist.pdf,https://aclanthology.org/2020.acl-main.442.pdf,11,98d15d259acf15136feed5cd5d4921b60cf313704a629901d115fe910fdb00e1,direct-method,"Behavioural test methodology; project adversarial cases remain constructed mechanism checks"
artstein2008agreement,"Inter-Coder Agreement for Computational Linguistics",2008,"Computational Linguistics 34(4)",10.1162/coli.07-034-R2,papers/35_artstein_poesio_intercoder_agreement.pdf,https://aclanthology.org/J08-4004.pdf,42,1729af43712921de3857555972c6a3376d66bcba2474f81a32cddf4f98aef058,direct-method,"Agreement coefficients require task-appropriate assumptions and interpretation; they do not replace adjudication or claim-level checks"
demsar2006comparisons,"Statistical comparisons of classifiers over multiple data sets",2006,"Journal of Machine Learning Research 7",7:1-30,papers/36_demsar_statistical_comparisons.pdf,https://www.jmlr.org/papers/volume7/demsar06a/demsar06a.pdf,30,aa5fa1c71338d0d380e7a97e3503ce486d4e5798069647a8d39f57a1f99a7c8c,direct-method,"Non-parametric comparison guidance is conditional on the experimental unit and design; this study must not treat repeated runs as independent cases"
gale2013framework,"Using the framework method for the analysis of qualitative data in multi-disciplinary health research",2013,"BMC Medical Research Methodology 13",10.1186/1471-2288-13-117,papers/37_gale_framework_method_qualitative_analysis.pdf,https://doi.org/10.1186/1471-2288-13-117,8,c7b29d818b4c1c2d53e198efdb4ab1f840c36f47d22a5c8eb3d9d17fecb21902,direct-method,"Systematic matrix-based qualitative analysis guidance; health-research examples require careful transfer to software-error and reviewer-feedback data"
diciccio1996bootstrap,"Bootstrap confidence intervals",1996,"Statistical Science 11(3)",10.1214/ss/1032280214,papers/38_diciccio_efron_bootstrap_confidence_intervals.pdf,https://doi.org/10.1214/ss/1032280214,40,fe14c39facbca45177f75720d520432e8206862ed5d5c167d0033a467f779752,direct-method,"Bootstrap interval methods and accuracy caveats; resampling unit and interval choice remain study-specific"
openai2026websearch,"Web search",n.d.,"OpenAI API documentation","Accessed 2026-08-27",html/openai_web_search.pdf,https://developers.openai.com/api/docs/guides/tools-web-search,12,46840b66aa2d1de8b8295686d4fd754614f5ff7afb45bbf55b9333adae777fe8,authoritative-documentation,"Official documentation has no visible publication date; captured as raw rendered HTML and a full local PDF; API behaviour remains execution-time evidence"
openai2026datacontrols,"Data controls in the OpenAI platform",n.d.,"OpenAI API documentation","Accessed 2026-08-27",html/openai_data_controls.pdf,https://developers.openai.com/api/docs/guides/your-data,19,6400e647d7e502b977c76e5e8c566dcbfbc77bac8fbbf75c01823dde0c8a3ed0,authoritative-documentation,"Official documentation has no visible publication date; captured as raw rendered HTML and a full local PDF; account eligibility and provider policy must be checked at execution time"
britishbusinessbank2025equity,"Small Business Equity Tracker 2025",2025,"British Business Bank","June 2025",papers/39_british_business_bank_equity_tracker_2025.pdf,https://www.british-business-bank.co.uk/sites/g/files/sovrnj166/files/2025-06/small-business-equity-tracker-report-2025.pdf,78,ccf27dc387a6fd2593201d4da68b477acfb7281e7f0fa7da0d7ecfd0c26ba067,authoritative-industry-report,"Current UK smaller-business equity and partial angel-market context; descriptive market evidence, not reporting-system effectiveness"
gompers2016vcdecisions,"How do venture capitalists make decisions?",2016,"NBER Working Paper 22587",10.3386/w22587,papers/40_gompers_et_al_venture_capital_decisions.pdf,https://www.nber.org/papers/w22587.pdf,64,74cae680bc8b3124a774183e6fccfcab5287eef96dacdacc57c85cbc90234857,direct,"Survey evidence on venture-capital practice and portfolio-company interaction; self-reported and not causal or reporting-tool evidence"
kaplan2016vcdata,"Venture capital data: Opportunities and challenges",2016,"NBER Working Paper 22500",10.3386/w22500,papers/41_lerner_et_al_venture_capital_data.pdf,https://www.nber.org/papers/w22500.pdf,26,3a73d2d851f4f5c2db535b499b4a117003e00e624942f314478ce817c943ecd5,direct,"Private-market dataset coverage and definition limitations; working paper and historical provider context with disclosed author relationships"
buneman2001provenance,"Why and where: A characterization of data provenance",2001,"Database Theory -- ICDT 2001",10.1007/3-540-44503-X_20,papers/42_buneman_et_al_data_provenance.pdf,https://www.pure.ed.ac.uk/ws/files/16509989/Why_and_Where_A_Characterization_of_Data_Provenance.pdf,16,11e74aefc7033337ba44af8aa6f0a4db052f6df367c699409e55d45ab9392df4,direct-method,"Foundational why/where provenance for database-query results; does not establish free-form claim truth"
cemri2025masfailures,"Why do multi-agent LLM systems fail?",2025,"NeurIPS 2025 Datasets and Benchmarks Track",arXiv:2503.13657,papers/43_cemri_et_al_multi_agent_failures.pdf,https://arxiv.org/pdf/2503.13657,47,1b9e317a2a421e60ca2b2eda4a30844557a01e63286a790890c0ecef32d25460,direct,"Empirical taxonomy across 1642 traces and seven selected systems; task mix and model-assisted annotation limit transfer"
dibia2024autogenstudio,"AutoGen Studio: A No-Code Developer Tool for Building and Debugging Multi-Agent Systems",2024,arXiv,arXiv:2408.15247,papers/44_dibia_et_al_autogen_studio.pdf,https://arxiv.org/pdf/2408.15247,8,30e62d01bbcb99b2c61aa8f558ebfff8ed20961a6d640eee1cfdfd63525775f4,supporting-method,"No-code multi-agent configuration, debugging and evaluation design; does not establish lower effort or product-specific effectiveness"
spacexai2026grokbot,"Create and manage Bots",2026,"SpaceXAI official Grok Bot documentation","Updated 2026-08-22; accessed 2026-08-31",html/spacexai_grok_bot_bots.pdf,https://docs.x.ai/grok-bot/bots,6,5fac7ed5161570bc06bcfec2ed78dd8cefa21b5b27e4c605a3484b0e5ae78fcc,vendor-documentation,"Official description of persistent named Bots, jobs, tools and sources, working context, hand-offs and approval boundaries; no independent effort, quality or suitability evidence"
visible2026investors,"Visible for Investors",n.d.,"Visible official product page","Accessed 2026-08-31",html/visible_investors.pdf,https://visible.vc/for-investors/,14,dd7c2094c9afe496d0b950ddd3d7ec683b783a550287372d212b2b625c417a35,vendor-documentation,"Official vendor-stated monitoring and reporting capabilities; no independent effectiveness or comparative evidence"
zapflow2026portfolio,"Portfolio Management for Professional Investors",n.d.,"Zapflow official product page","Accessed 2026-08-31",html/zapflow_portfolio_management.pdf,https://www.zapflow.com/portfolio-management,6,7ef38872d31444c5339d4f7f380813b13fd73c514373fa9536786fc7cac6a718,vendor-documentation,"Official vendor-stated portfolio-management and reporting capabilities; no independent effectiveness or comparative evidence"
affinity2026portfolio,"Portfolio Management Software and Tools for PE and VC",n.d.,"Affinity official product page","Accessed 2026-08-31",html/affinity_portfolio_management.pdf,https://www.affinity.co/roles/portfolio-management,4,d210bfd32eff72c6e424716df5a86d8faa75218897ffd08d02d1258e8402109e,vendor-documentation,"Official vendor-stated relationship and portfolio-management capabilities; no independent effectiveness or comparative evidence"
du2024debate,"Improving factuality and reasoning in language models through multiagent debate",2024,"ICML 2024 / arXiv",arXiv:2305.14325,papers/51_du_et_al_2024_multiagent_debate.pdf,https://arxiv.org/abs/2305.14325,27,b302ff15202dc3cda03f40ea1ac92b29e1519978540b345af92991f6d3e619b4,direct,"Multi-agent debate raises factuality on reasoning benchmarks; not a portfolio-reporting evaluation"
fu2026agents,"Do More Agents Help? Controlled and Protocol-Aligned Evaluation of LLM Agent Workflows",2026,"arXiv",arXiv:2606.05670,papers/45_fu_et_al_2026_do_more_agents_help.pdf,https://arxiv.org/abs/2606.05670,33,020436341ab6180a8be217e2840e452cf4df2d7b59bae76de25b7d0ebb18504c,direct,"Matched-input MAS vs single-agent anchor; preprint; warrants equal-input C1/C2 rather than multi-agent superiority"
hong2023metagpt,"MetaGPT: Meta Programming for a Multi-Agent Collaborative Framework",2023,"ICLR 2024",arXiv:2308.00352,papers/53_hong_et_al_2023_metagpt.pdf,https://arxiv.org/abs/2308.00352,29,17582e47647fac8eaa3681feade41c8408310c4133acc5c6823565fbe880e1ac,supporting-method,"SOP-encoded role decomposition; coding-domain evidence only"
kamoi2024realmistake,"Evaluating LLMs at Detecting Errors in LLM Responses",2024,"COLM 2024",arXiv:2404.03602,papers/47_kamoi_et_al_2024_realmistake.pdf,https://arxiv.org/abs/2404.03602,46,48e7d39d62e6ef951ac685286d8c9e2c2d5e93b4e20e6043750446bb862e85bf,direct-method,"ReaLMistake error-detection benchmark; detectors run at low recall versus humans"
min2023factscore,"FActScore: Fine-grained Atomic Evaluation of Factual Precision in Long Form Text Generation",2023,"EMNLP 2023",arXiv:2305.14251,papers/50_min_et_al_2023_factscore.pdf,https://arxiv.org/abs/2305.14251,25,88f7542131228f320829a67678f5dec2b069a72acf3852b3e563f0c1d03fc8ff,direct-method,"Atomic-fact decomposition; long-form factual precision can be low even for strong models"
panickssery2024selfpref,"LLM Evaluators Recognize and Favor Their Own Generations",2024,"NeurIPS 2024",arXiv:2404.13076,papers/49_panickssery_et_al_2024_self_preference.pdf,https://arxiv.org/abs/2404.13076,21,e1466f5ade6144599fda01deafdd737b4623eaae273d71e4a0099d55b33189d3,direct,"Self-preference rises with self-recognition; warrant for a verifier that cannot rewrite the claim"
qian2024chatdev,"ChatDev: Communicative Agents for Software Development",2024,"ACL 2024",arXiv:2307.07924,papers/54_qian_et_al_2024_chatdev.pdf,https://arxiv.org/abs/2307.07924,13,1cffa12eae0586ec7074fc660a90b4fe90e406e9c07f3a48819a899e4bf55fd1,supporting-method,"Explicit reviewer and tester roles in a chat-chain; software-engineering tasks"
shinn2023reflexion,"Reflexion: Language Agents with Verbal Reinforcement Learning",2023,"NeurIPS 2023",arXiv:2303.11366,papers/52_shinn_et_al_2023_reflexion.pdf,https://arxiv.org/abs/2303.11366,19,6059b6f89fea9959bd3dab553fbb97756a3dfb1b15e3cbab2fbf3ab6664333bd,supporting-method,"Actor-evaluator-reflection loop; needs a reliable evaluation signal"
thorat2024summexecedit,"SummExecEdit: A Factual Consistency Benchmark in Summarization with Executable Edits",2024,"arXiv",arXiv:2412.13378,papers/48_thorat_et_al_2024_summexecedit.pdf,https://arxiv.org/abs/2412.13378,15,0867ec545361ace61796dadc5ad90a328387eec39cfeb94f4724179d3c29d36a,direct-method,"Executable-edit error injection; best joint detect-and-explain 0.49; 60 inconsistent summaries missed by all models tested"
yue2023attrscore,"Automatic Evaluation of Attribution by Large Language Models",2023,"Findings of EMNLP 2023",10.18653/v1/2023.findings-emnlp.307,papers/46_yue_et_al_2023_attrscore.pdf,https://aclanthology.org/2023.findings-emnlp.307.pdf,21,1673be1531451da14decf47739a7449910af09f8cf3128ad756e0b7a3121dd95,direct,"AttrScore support vs contradiction; GPT-4 about 81-83 percent overall on AttrEval-GenSearch; contradiction remains the weak class"
